# Pathway	DefCom_repeat_Cecal_10_Abundance	DefCom_repeat_Cecal_13_Abundance	DefCom_repeat_Cecal_14_Abundance	DefCom_repeat_Cecal_16_Abundance	DefCom_repeat_Cecal_17_Abundance	DefCom_repeat_Cecal_18_Abundance	DefCom_repeat_Cecal_19_Abundance	DefCom_repeat_Cecal_1_Abundance	DefCom_repeat_Cecal_20_Abundance	DefCom_repeat_Cecal_21_Abundance	DefCom_repeat_Cecal_22_Abundance	DefCom_repeat_Cecal_23_Abundance	DefCom_repeat_Cecal_24_Abundance	DefCom_repeat_Cecal_2_Abundance	DefCom_repeat_Cecal_4_Abundance	DefCom_repeat_Cecal_5_Abundance	DefCom_repeat_Cecal_6_Abundance	DefCom_repeat_Cecal_7_Abundance
UNMAPPED	0.219205	0.305102	0.332605	0.317805	0.225592	0.25248	0.257804	0.141722	0.233752	0.256933	0.292078	0.266732	0.178966	0.162181	0.211788	0.219573	0.216114	0.179049
UNINTEGRATED	0.747694	0.674893	0.655257	0.663751	0.738568	0.732558	0.72807	0.815541	0.746396	0.729289	0.691697	0.71293	0.78995	0.798687	0.750277	0.752739	0.746454	0.780592
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0.0227537	0.00908827	0	0	0.0213172	0.00762572	0	0.00885901	0.0155774	0	0	0.0094411	0.0137093	0.00847046	0.0257736	0.0199926	0.0249652	0.0178791
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00276548	0.00203731	0	0	0
UNINTEGRATED|g__Anaerofustis.s__Anaerofustis_stercorihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000926427	0	0	0.00178167	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	0	0	0.0658709	0.0607262	0	0.0466795	0.033639	0.0352729	0.0420674	0.0352341	0	0.0601108	0.0484142	0.0540785	0.0614501	0.0446678	0.0560949	0.0698796
UNINTEGRATED|g__Bacteroides.s__Bacteroides_fragilis	0.14883	0	0	0	0	0	0.0376855	0.105783	0	0.0401462	0	0	0	0.0677309	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	0.16287	0.192995	0.135377	0.219936	0.236164	0.189323	0.15018	0.164725	0.194571	0.142542	0.248731	0.176668	0.249572	0.192037	0.224977	0.25323	0.217317	0.263664
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0.0126809	0.0124978	0.0149936	0.0250108	0.017499	0.0176345	0	0.0196073	0.0160383	0.0132399	0.0133259	0.022676	0	0	0	0	0
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis	0.0269423	0.0576691	0.0492563	0.0604659	0.0904266	0.0605762	0.0521633	0.0641545	0.0575261	0.0371867	0.0233958	0.0577976	0.0957043	0.0542328	0.0570539	0.027265	0.0390929	0.0467492
